Title,wlyyy,nocor,xnmdg,xnmdg3,ewmdv,ewmdv5,Field17
86. Restaurant Akrame,MICHELIN,587 reviews,"French, European",$$$$,“Best lunch in Paris”,“Akrame is hidden in a beautiful”,4.5
87. Qui Plume La Lune,MICHELIN,476 reviews,"French, European",$$$$,“Best experience in Paris!”,"“Inventive, elegant cuisine”",4.5
88. Auguste,MICHELIN,526 reviews,"French, European",$$$$,“His first visit to Auguste guarantees...”,“A place worth trying”,4.5
89. Mavrommatis,MICHELIN,457 reviews,"Mediterranean, European",$$$$,“Fantastic”,“A fantastic greek restaurant in Paris”,4.5
90. Restaurant David Toutain,MICHELIN,765 reviews,Open Now,"French, European",“Great special occasion dinner/lunch”,“Outstanding”,4.5
91. Le Casse Noix,MICHELIN,546 reviews,"French, European",$$ - $$$,“One of the best meals we had in Paris”,“A pure gem in Paris!”,4.5
92. Les Botanistes,MICHELIN,492 reviews,"French, European",$$ - $$$,“Most charming”,“Back again”,4.5
93. Accents Table Bourse,MICHELIN,182 reviews,"French, European",$$$$,"“A culinary voyage, one Michelin star”",“A food experience off the conventions”,4.5
94. Le Pavillon de la Grande Cascade,MICHELIN,"1,061 reviews","French, European",$$$$,“Honeymoon Dinner”,“C'est magnifique y'all!!”,4.5
95. Frederic Simonin,MICHELIN,412 reviews,"French, European",$$$$,“Paris”,“Great lunch”,4.5
Le Grand Corona,,,Open Now,French,,,
96. La Scene Par Stephanie Le Quellec,MICHELIN,124 reviews,"French, Healthy",$$$$,“La Scene”,“an experience really worth 2 stars”,4.5
97. Le Boudoir,MICHELIN,611 reviews,"French, European",$$$$,“✨”,“A French restaurant not to miss while in...”,4.5
98. Oka,MICHELIN,206 reviews,"Brazilian, Fusion",$$$$,“Interesting Franco Brazilian fusion...”,“Superb mix”,4.5
99. Le Baudelaire,MICHELIN,448 reviews,"French, European",$$$$,“Just Wonderful”,“Beautiful tea time”,4.5
100. Restaurant Pilgrim,MICHELIN,127 reviews,"French, European",$$$$,“Intimate and surprising restaurant with...”,"“Great evening, delicious meal”",4.5
101. Will,MICHELIN,335 reviews,"French, European",$$$$,“Excellent close to Gare de Lyon”,“Unique place”,4.5
102. Bistrotters,MICHELIN,"2,380 reviews","French, European",$$ - $$$,“Memorable birthday lunch”,“Great food;  great service.  Unique food...”,4.5
103. Pierre Sang on Gambey,MICHELIN,662 reviews,"Korean, French",$$$$,“Food and atmosphere to remember”,“Incredible experience!”,4.5
104. Korus,MICHELIN,161 reviews,"French, European",$$$$,“Relaxed Ambience. Creative edgy food.”,“Come before it becomes a Michelin...”,4.5
105. Nomicos (ex- Les Tablettes),MICHELIN,832 reviews,"French, European",$$$$,“One of the best restaurants I have ever...”,“Where amazing cuisine meet outstanding...”,4.5
106. Augustin Bistrot,MICHELIN,706 reviews,Open Now,"French, European","“Great value, great experience”",“Nice bistro nearby montparnasse”,4.5
107. Tomy & Co,MICHELIN,386 reviews,"French, European",$$$$,“Storytelling Through Gastronomy”,“Happening place in the 7th!”,4.5
108. L'Oiseau Blanc Restaurant,MICHELIN,"1,074 reviews","French, European",$$$$,“Excellent as always!!!”,"“Excellent food, service, wine list”",4.5
109. Neva Cuisine,MICHELIN,535 reviews,French,$$$$,“Wonderful dinner”,“Still going strong”,4.5
110. Caius,MICHELIN,508 reviews,"French, European",$$$$,“nice option for lunch”,“Not to be missed.”,4.5
111. Restaurant Le Meurice Alain Ducasse,MICHELIN,981 reviews,French,$$$$,“New Year dinner with a bang”,“Beautiful place and excellent cuisine”,4.5
112. Le Grand Restaurant Jean francois Piege,MICHELIN,406 reviews,French,$$$$,“A 2-star Michelin with the aspirations to...”,“Sweetbread!”,4.5
113. Le George,MICHELIN,655 reviews,"Mediterranean, Italian",$$$$,“Oh La La”,"“Exceptional food, decor, service”",4.5
114. Phillipe Excoffier,MICHELIN,455 reviews,Open Now,"French, European",“Outstanding experience”,"“Excellent food, wine & service!”",4.5
115. Alleno Paris,MICHELIN,838 reviews,"French, European",$$$$,“Simply outstanding and redefining 3 star...”,“Very Classy place”,4.5
Acai & You - Maubeuge (Paris 9),,61 reviews,Open Now,"Healthy, Brazilian",“Top class!”,“Great place for a good açaí bowl!”,4.5
116. Caffe Stern,MICHELIN,428 reviews,"Italian, European",$$$$,"“Amazing food, ignore negative reviews!”",“Delicious food in an unique setting”,4.5
117. Elmer,MICHELIN,331 reviews,"French, European",$$$$,“Excellent food and wine in relaxed...”,“Second visit more consistent; excellent...”,4.5
118. Les 110 de Taillevent,MICHELIN,"1,098 reviews","Gastropub, French",$$$$,“Notable for a Choice of 110 Wines by the...”,"“Super food, super wine selection by the...”",4.5
119. Le Pantruche,MICHELIN,547 reviews,"French, European",$$ - $$$,“Excellent restaurant!”,“Excellent food and great value”,4.5
120. Le Christine,MICHELIN,"1,264 reviews",French,$$$$,“New Year's Eve dinner!”,“Best restaurant we visited in 2 weeks”,4.5
121. Le Cornichon,MICHELIN,344 reviews,"French, European",$$ - $$$,“Stunning”,“A chef with experience and personality”,4.5
122. Le Violon d'Ingres,MICHELIN,"1,327 reviews","French, European",$$$$,“Delicious food - stunning service”,“Overpriced and snooty”,4.5
123. 20 Eiffel,MICHELIN,491 reviews,"French, European",$$ - $$$,“Exceptional Quality for the Price and the...”,“Near the Eiffel Tower”,4.5
124. Le Mazenay,MICHELIN,244 reviews,"French, European",$$ - $$$,"“Nice, unpretentious restaurant with great...”",“Treat yourself!”,4.5
125. Auberge Pyrenees Cevennes,MICHELIN,512 reviews,"French, European",$$ - $$$,“Old School French”,“Great service - good food”,4.5
New Balal,,393 reviews,"Indian, Healthy",$$ - $$$,“Top Class”,“Really good”,4.5
126. Il Carpaccio,MICHELIN,790 reviews,"Italian, Mediterranean",$$$$,“Best restaurant in Paris!”,“Exceptional”,4.5
127. Frenchie,MICHELIN,"1,313 reviews",French,$$$$,“Great”,“Exquisite Dining”,4.5
128. Helen,MICHELIN,257 reviews,"French, Seafood",$$$$,“Wonderful Seafood Dinner”,“Fantastic fish”,4.5
129. Chez Monsieur,MICHELIN,447 reviews,"French, European",$$ - $$$,“Classic Paris restaurant- strongly...”,“Fantastic”,4.5
130. Brasserie Bellanger,MICHELIN,231 reviews,Open Now,"French, Bar",“good food”,“French dinner in a nice atmosphere”,4.5
Hwarang Restaurant Coreen,,83 reviews,Open Now,"Barbecue, Asian","“Great food, service & ambiance”",“Great Asian BBQ”,4.0
131. Anicia,MICHELIN,276 reviews,Open Now,"French, European",“Why this is not in the top”,“A delight in every way!”,4.5
132. Pasco,MICHELIN,"1,191 reviews","French, European",$$ - $$$,"“Cozy, cute, great food and music in the &e”",“Perfect little spot!”,4.5
133. La Dame de Pic,MICHELIN,998 reviews,"French, European",$$$$,“Nice open kitchen”,“A little too fancy for us”,4.0
134. Dessance,MICHELIN,524 reviews,"French, European",$$$$,“Highest quality food and service”,“Fabulous vegetarian meal”,4.5
135. Les Petits Plats,MICHELIN,472 reviews,"French, European",$$ - $$$,"“A quintessential, exceptional Parisian...”",“Wonderful and welcoming”,4.5
136. Polissons,MICHELIN,154 reviews,"French, European",$$$$,“Best restaurant of my life”,“Excellent place”,4.5
137. Garance,MICHELIN,327 reviews,Open Now,"French, European",“Perfect!”,“Wonderful”,4.5
138. Shang Palace,MICHELIN,794 reviews,"Chinese, Asian",$$$$,“Best Chinese Food I have Ever Eaten EVER...”,"“I was served by Ashendra Haidramani,”",4.5
139. Cafe des Ministeres,MICHELIN,127 reviews,Open Now,"French, European",“Exquisite food”,“A courageous young couple has just taken...”,4.5
140. Sushi-B Paris,MICHELIN,194 reviews,"Sushi, Japanese",$$$$,“The most amazing sushi you will ever eat!”,“Best sushi in Paris”,4.5
141. Yam'Tcha,MICHELIN,440 reviews,Asian,$$$$,“Yam'Tcha”,“Never disappoints!”,4.5
142. Le Relais Louis XIII,MICHELIN,538 reviews,"French, European",$$$$,“Classic French cuisine at its best!”,“Just amazing!”,4.5
143. Shirvan Cafe Metisse,MICHELIN,290 reviews,"Middle Eastern, Persian",$$ - $$$,“We loved this restaurant!”,“Amazing”,4.5
144. A la Biche au Bois,MICHELIN,"1,036 reviews",French,$$ - $$$,“Excellent service; tasty and authentic...”,“This is Paris at it‘s best!!”,4.5
145. Mensae,MICHELIN,445 reviews,"French, European",$$ - $$$,“Don't take the tasteless gooseneck...”,“delicious inventive food in a friendly...”,4.5
Ile Sushi,,55 reviews,Open Now,"Japanese, Sushi",“Excellent surprise!!!!!”,“Good food freshly served”,4.0
146. Chameleon Restaurant,MICHELIN,518 reviews,"French, European",$$ - $$$,“Great food!”,"“Excellent nouveau-bistro meal, despite...”",4.5
147. L'Atelier du Parc,MICHELIN,590 reviews,"French, European",$$$$,“Super Nice and good quality food”,“Excellent little restaurant for business...”,4.5
148. CORETTA,MICHELIN,703 reviews,"French, European",$$$$,"“Sweet, sweet sweetbread !”",“Bright modern place with lovely food”,4.5
149. La Fourchette du Printemps,MICHELIN,368 reviews,"French, European",$$$$,“French gastronomy at its best !”,“One of my favourite restaurants in Paris”,4.5
150. Le Radis Beurre,MICHELIN,249 reviews,"French, European",$$ - $$$,“A great find!”,“Great restaurant for French cuisine.”,4.5
NEW JHELUM,,613 reviews,"Indian, Pakistani",$$ - $$$,“Best Indian food in Paris”,“Best Indian restaurant ever!!”,4.5
151. Kodawari Ramen (Yokocho),MICHELIN,"1,094 reviews",Open Now,"Japanese, Asian",“Cravings”,“Holy Vegan Ramen”,4.5
152. Pierre Sang,MICHELIN,"1,304 reviews","Korean, French",$$$$,“Great food!”,“Fantastic Dinner”,4.5
153. Le Grand Pan,MICHELIN,348 reviews,"French, European",$$ - $$$,“Great lunch!”,“Wonderful!”,4.5
154. Le Sergent Recruteur,MICHELIN,106 reviews,"French, European",$$$$,“Great and excellent for gluten-free”,“A Great Experience for our group of eight.”,5.0
155. Siamsa,MICHELIN,298 reviews,"French, European",$$$$,“Nice small 'boutique' restaurant with...”,“A real gem - please 🙏 visit”,4.5
156. RESTAURANT MANDOOBAR,MICHELIN,271 reviews,"Asian, Korean",$$ - $$$,“a real korean food experience”,“original diner”,4.5
157. Zen,MICHELIN,608 reviews,"Japanese, Sushi",$$ - $$$,“The hamachi sashimi was fresh”,“Excellent Sashimi and Tempura”,4.0
158. Le Villaret,MICHELIN,392 reviews,"French, European",$$$$,“Really good”,“Extraordinary wine list with reasonable...”,4.5
159. Le 39V,MICHELIN,492 reviews,"French, European",$$$$,“Le 39V is somewhat tarnished in the...”,“so.... so.....”,4.0
160. Semilla,MICHELIN,"1,201 reviews","French, European",$$ - $$$,“Excellent dining experience but with one...”,“Imaginative ingredient blends intrigue...”,4.0
Nirvana Inde,,209 reviews,Indian,$$ - $$$,“GreaT Indian Restaurant in Paris”,“Great food!”,4.0
161. Zebulon Palais Royal,MICHELIN,534 reviews,"French, European",$$ - $$$,“Just superb”,“Exceptional meal; why one comes to Paris...”,4.5
162. Les Canailles Menilmontant,MICHELIN,111 reviews,French,$$ - $$$,“Excellent Michelin Bib Gourmand...”,“one of my favourites”,4.5
163. La Truffiere,MICHELIN,578 reviews,"French, European",$$$$,"“Lovely atmosphere, service and experience”",“The Experiment”,4.0
164. L'Epi Dupin,MICHELIN,779 reviews,"French, European",$$ - $$$,“Presentation over flavour”,“value for money”,4.0
165. Le Coq & Fils - The Poultry House,MICHELIN,"1,045 reviews","French, Healthy",$$ - $$$,“2nd time as good as the first”,“Le Coq & Fils”,4.5
Little Babel,,26 reviews,"Italian, Pizza",$,“Very Good”,“Fantastic”,5.0
166. Les Affranchis,MICHELIN,410 reviews,"French, European",$$ - $$$,“Perfect dinner”,“Amazing!”,4.5
167. L'Ami Jean,MICHELIN,"1,234 reviews",Open Now,"French, European",“Amazing restaurant!”,“Customer focused chef”,4.5
168. Contre-Allee,MICHELIN,283 reviews,"French, European",$$ - $$$,“Local and Delicious”,“A marvelous lunch experience.”,4.5
169. Maison Rostang,MICHELIN,584 reviews,"French, European",$$$$,“One of the best Parisian lunch...”,“Americans in Paris”,4.5
170. Camelia,MICHELIN,816 reviews,Open Now,"French, European",“breakfast”,“A green oasis of gastronomy we loved”,4.5
171. Pavyllon,MICHELIN,115 reviews,"Italian, French",$$$$,“Nice food super team”,“Pavyllon”,4.5
172. L'Assiette,MICHELIN,408 reviews,"French, European",$$$$,“Get the Cassoluet (and share it!)”,“Great classic French fare”,4.5
173. L'agrume,MICHELIN,321 reviews,"French, European",$$$$,“Top 10 meal of my life!”,“Many A Return Visit”,4.5
174. Le Sirocco,MICHELIN,337 reviews,Open Now,"African, Moroccan",“On a cold night you are transported”,“Fantastic Moroccan food”,4.5
175. Shu,MICHELIN,323 reviews,"Japanese, Asian",$$$$,“Unique and Amazing”,“My friend said why not go to bistros when...”,4.5
Chettinadu,,69 reviews,Open Now,Indian,"“Excellent Dosa, Authentic South Indian...”",“Authentic south Indian food”,3.5
176. L'Ecrin,MICHELIN,104 reviews,French,$$$$,“Perfection”,“A perfect romantic evening.”,5.0
177. La Causerie,MICHELIN,219 reviews,"French, European",$$ - $$$,“Excellent all round plus nice ambience”,“delicious meal in a typical French...”,4.5
178. Clamato,MICHELIN,462 reviews,"French, Seafood",$$ - $$$,"“good seafood, great tarte”",“Very friendly Service and high quality...”,4.0
179. L'Arpege,MICHELIN,"1,337 reviews","French, European",$$$$,“Expensive but filling lunch”,"“Great experience, but the deserts were a...”",4.0
180. Le 52,MICHELIN,576 reviews,Open Now,"Contemporary, French",“Dog friendly!”,“Sunday morning ...”,4.5
Masha,,402 reviews,"French, European",$$$$,“Superior fish”,“Great find”,4.0
New Jawad,,624 reviews,"Indian, Asian",$$ - $$$,“great restaurant”,“Guest in Paris Served by New Jawad...”,4.0
181. Septime,MICHELIN,"1,010 reviews","French, European",$$$$,“Affordable and Comfortable for an...”,“great for vegetarians”,4.5
182. Balagan,MICHELIN,434 reviews,"Israeli, Arabic",$$$$,“Exquisite food but the music is too loud”,“Bonne Anniversaire a L'Eurovision”,4.0
183. Restaurant Caillebotte,MICHELIN,414 reviews,"French, European",$$ - $$$,“Nice cozy modern bistro”,“Average”,4.0
184. L'inconnu,MICHELIN,134 reviews,"Italian, European",$$$$,“Excellent meal”,“Very good”,4.5
185. Le Relais Plaza,MICHELIN,467 reviews,French,$$$$,"“Cozy dinner, good food, great atmosphere”",“Old Client”,4.5
186. Clover Green,MICHELIN,362 reviews,"French, Healthy",$$$$,“Highly Recommend”,“Not Really a Piège”,4.0
187. Soon Grill,MICHELIN,531 reviews,"Asian, Korean",$$ - $$$,“Really good korean bbq”,“First-time Korean Barbecue Experience”,4.0
188. Le Beurre Noisette,MICHELIN,464 reviews,"French, European",$$ - $$$,“All the flavors you want”,“Very Good taste place !”,4.0
189. Maceo,MICHELIN,625 reviews,"French, European",$$$$,“So glad we stumbled into this place!”,"“Nice food, upmarket and a bit formal”",4.0
