,title,author,count,ratingdate,text,visitdate,likes,rating,weekday,month
54,"Average, pretentious and disappointing ",nicolasc226,234,2018-10-13,"The ambiance is nice and relaxed and the staff is great. 
The food is a surprise menu, visually well executed but far too complex and I would say pretentious. 
Some of the dishes were ok, the sweetbreads were the worst I’ve eaten but the pudding...More",2018-10-01,3,3.0,Saturday,October
55,Worse one star michelin restaurant ever (i visiter over 50),arisnita,7,2018-10-12,"Nothing is really good. Somethings are ok. The pigeon is a total disaster. Epic fail overall. 

Avoid at all costs.",2018-10-01,3,1.0,Friday,October
56,Very average,AmnaAlblooshi,74,2018-10-12,Not worth the hype at all .. if you know good food and Michelin star worthy food don’t bother coming here if you are expecting and exceptional experience .. food was very average and mediocre .. we had the autumn menu .. the amuse bouche...More,2018-10-01,1,3.0,Friday,October
57,Perplexed by lack of execution and bad wine pairing,Journey823987,1,2018-10-11,"Went to Septime as we had a friend who used to work here. Expected a good representation of seasonal ingredients and had heard great things about the wine list. Perhaps they had a bad service but the dishes weren't cohesive and showed average technique. 

The...More",2018-09-01,3,2.0,Thursday,October
58,Wow - How Delicious,Eatalyfood,30,2018-10-10,We were extremely lucky to get a reservation on a Friday evening in September during Fashion Week and the Ryder Cup!  It is a set menu of amazing creativity and delicious flavours served in a chic but relaxed environment with fantastic knowledgable staff.  Absolutely first...More,2018-09-01,1,5.0,Wednesday,October
60,"One of the best, but not tonight",meregorovian,55,2018-09-30,"This restaurant is constantly one of the best restaurants in the world and rightly so. But the night we had dinner we were a bit aghast at the inconsistency of the menu, two soups, one protein and two desserts? Now who would be complaining about...More",2018-01-01,1,4.0,Sunday,September
61,One of the best places in Paris? This must be a joke...,jeanbworldtraveller,94,2018-09-24,"This restaurant's agenda is clear: Make high profit margins from unsuspecting customers.

I am not even sure where to start because everything was off...

Very tiny portions.
No coherence in flavors.
Bad quality ingredients.

Yes, it's cheap(ish) but it's easy to tell that it is....More",2018-09-01,2,1.0,Monday,September
62,Excellent,VoxVolpe,503,2018-09-09,"This inventive restaurant is excellent in every way.  The service was friendly and attentive yet casual.  The atmosphere is casual but hip.  The food was tasty, flavorful and well prepared.  Every dish was thoughtful and artful.  We enjoyed all the dishes especially the fish.  Septime...More",2018-09-01,0,5.0,Sunday,September
63,Ok,322judid,15,2018-09-07,"We had lunch here yesterday. The food was creative but there was no continuity of flavors. Service was extraordinarily good and attentive. However, my husband and I were sick for the remainder of the day. There are so many excellent restaurants in Paris that I...More",2018-09-01,0,3.0,Friday,September
64,Spectacular ,475damieng,487,2018-08-06,The effort to get a booking at this restaurant was well worth it. The food was amazing. The staff were wonderful. Wines are fantastic. Really can’t fault the experience we had here - easily the best meal I had in Paris and rates among the...More,2018-08-01,2,5.0,Monday,August
65,Amazing,E17fella,69,2018-08-03,Came here for dinner with two friends. We had the menu with the matched wines and it was an incredible dinner. The staff were extremely knowledgeable about the food and the wine and were friendly and attentive. They were able to answer all of our...More,2018-08-01,0,5.0,Friday,August
66,Delicious but overpriced and still hungry after ,Patwak,27,2018-07-31,"Our friend lives around the corner and walked by to make a reservation 3 weeks in advance for us on a monday evening. 

We received a warm welcome and then they showed us a very nice communal table with a nice view on the garden...More",2018-07-01,2,4.0,Tuesday,July
67,Very disappointing. ,GuilhermeR902,294,2018-07-29,"It was really complicated booking a table at this highly rated contemporary French eatery. There is no online booking, you have to call at specific times. Due to a time difference, we had to wake up at 5 a.m. at a specific date to book...More",2018-07-01,1,2.0,Sunday,July
68,Be sure to add Septime to your Paris visit,MgP315,35,2018-07-21,We booked weeks in advance and luck to get a reservation for lunch. It is always a pleasure to dine in top restaurants in the world without dressing up. No pretensions just honest to goodness great food. The atmosphere is very casual but the food...More,2018-03-01,0,5.0,Saturday,July
70,Get a reservation first THEN plan your visit to Paris around it!,wheelie07042,395,2018-07-08,"Septime is more than a little off the beaten track, but the good people at Michelin hunted them down to hand over their star and it's worth whatever you pay the cabbie to get you out to the 11th Arr. 

Concept is simple: they'll cook...More",2018-03-01,2,5.0,Sunday,July
71,Lucky to get a table,Nebuliza,192,2018-07-04,So what is clear from the reviews is that this is a tough table to get and there needs to be a lot of preparation in just getting in. Lucky for me I have a friend who has a number of connections in the industry...More,2018-07-01,0,5.0,Wednesday,July
72,Amazing experience,Hskimhk,14,2018-06-24,"Few days after coming here, we went to a 3 star Michelin restaurant - which was 3 times the price.  Food and overall experience here at Septime was 10 times better.  Each meal tasted amazing.  Also, cheese option + dessert was heavenly.  One of best...More",2018-06-01,0,5.0,Sunday,June
73,Impression and some tips for would-be diners,Elissa M,69,2018-06-21,"After trying for some time to get reservations in June 2018, findings very little info on line that was helpful, and had dinner there last night, I thought I would leave some breadcrumbs for the next person. Especially if that person is travellings to Paris...More",2018-06-01,10,5.0,Thursday,June
74,"Very good, but maybe a bit overhyped...",ParisSooner,35,2018-06-15,"Don’t get me wrong, this is a very good restaurant.  Top quality food, reasonable prices and great service.  Everything was well prepared and we really enjoyed it. However based on all the hype, I expected it to be a bit more “special”.  Perhaps it is...More",2018-06-01,3,4.0,Friday,June
75,Fine food but few choices.,Marion T,340,2018-06-15,"We felt lucky to get a reservation, even for lunch, and were happy to find this bustling, pretty space waiting.  The only problem was the limitation of the menu.  There was a choice of main course--seared tuna or roast chicken.  Appetizers and desert were 'surprises'....More",2018-06-01,2,4.0,Friday,June
76,"If you go in hungry, you'll leave the same way",matt m,6,2018-06-13,"In Paris for my father's 70th birthday and thought we'd try a restaurant purported to be one of the best in the world. The staff appeared to outnumber the clientele which was fine, if a little crowded, unlike the plates. The food was tasty and...More",2018-06-01,2,3.0,Wednesday,June
77,Well deserved kudos!,Barrister85,22,2018-05-31,My wife and I recently were fortunate to obtain a reservation here to celebrate her birthday. The set menu was both interesting and truly outstanding. The service was helpful and efficient. The lamb tartare appetizer was terrific and each subsequent course that night was better...More,2018-05-01,2,5.0,Thursday,May
78,Underwhelming ,krolinka,28,2018-05-26,"We could not get the dinner reservation, so went in for lunch. Food was good, just good, nothing extraordinary. The wine pairing was not worth the price at all. The staff told us we would get full glasses of wine, but we got 4 tiny...More",2018-05-01,3,3.0,Saturday,May
80,Tip go late before closing and wait at the cave,kcanavan2010,544,2018-05-02,I went to have diner at Septime as it is a highly recommended restaurant. I waited at the cave having a couple of wine glasses. Then I had a table/bar seat right before closing. The service is friendly and relaxed the food very good and...More,2017-06-01,1,4.0,Wednesday,May
81,Fine dining without the stuffiness.,NotesOfJohn,71,2018-04-28,"Septime is near impossible to get a booking for, but if you're lucky, you're in for a treat.

We went for lunch for which they offer a 4 course set menu for 42 euros.

All the food was creative, well executed and of great quality....More",2018-04-01,0,5.0,Saturday,April
82,Interesting Lunch Menu,PleasureofLifefbyMsS,30,2018-04-25,"It is not a restaurant that you can book a table a day or two before the day you want to eat there,  but it totally is worthy of the efforts. I will try to get a table next time when I visit Paris. 

The...More",2018-04-01,0,5.0,Wednesday,April
83,Reservation fiasco,Chris47n,44,2018-04-24,It’s hard enough to make a booking or get a response from this group if you don’t have a booking. I’ve been in Paris two months already and a few weeks ago was able to secure a lunch spot. When booking online I was not...More,2018-04-01,2,2.0,Tuesday,April
84,"Creative, Well-Executed Food",jclaybaldwin,24,2018-04-22,"Maybe I went in with lower expectations than the hype surrounding Septime (mostly due to the other reviews here), but I came away talking about some of the dishes here more than the other restaurants we ate at. Which I think says something. In particular,...More",2018-04-01,0,4.0,Sunday,April
85,Lunch prix fixe,Nicholas S,17,2018-04-16,Wife and I went to lunch here on our first day in Paris. We were very excited to get reservations for this difficult restaurant to get reservations. The lunch was very good and was an excellent value for a lunch service with the quality of...More,2017-10-01,1,4.0,Monday,April
86,It’s just okay if you are a foodie,Lucia S,34,2018-04-14,"I went for lunch (couldn’t get dinner reso). Wednesday, April 3rd.

Ok, so if you are from any cosmopolitan city in the world with foodie scene, you will be underwhelmed. Yes, trust me you will. 

My meal had homemade grissini, skinny breadsticks and an overly...More",2018-04-01,4,3.0,Saturday,April
87,"Cozy atmosphere,friendly service, good food",emilyv536,8,2018-04-08,I had tried everyday to get a reservation at Septime during the 3 weeks leading up to our trip to Paris.  We decided to see what would happen if we showed up at the opening of the restaurant to see if there were any last...More,2018-03-01,1,4.0,Sunday,April
88,Underwhelmed,deirdres2018,5,2018-04-05,"I was overall disappointed and underwhelmed by the food I experienced at Septime. As a top 50 rated restaurant with a michelin star I expected dishes that were more inventive and flavorful. We did dine at lunch, but I was ensured that lunch was just...More",2018-04-01,1,3.0,Thursday,April
90,Best White Asparagus Ever,lowelevin,9,2018-03-30,"Food was great, service was great, but in particular when I asked how the fabulous white asparagus course was prepared, I received a direct answer and then a pause and then full credit was given to the asparagus that was delivered that morning.  The staff...More",2018-03-01,0,5.0,Friday,March
91,Wonderful gourmet experience,jennyw3922016,124,2018-03-13,"The menu gastronomique is beautifully balanced, the food is creative without being fussy and the service is good. For me, the courses flowed from one to the next. Highlights were white asparagus with seaweed, pigeon with vegetables served to one side and the lightest possible...More",2018-03-01,0,5.0,Tuesday,March
92,Recommend,moomickey,18,2018-03-12,Managed to get a 7:30pm reservation for 2 people. The fixed menu is 80 Euro each for 8 courses and 55 Euro for the 8 glass wine pairing; which I highly recommend. You also have access to a full wine list if you don’t fancy...More,2018-03-01,0,4.0,Monday,March
93,A little place with great big tastes ,jond394,13,2018-02-24,"What an extravagance!
We four friends came  to Paris to have dinner here so it was always going to be special 
It’s so damned french !!
Great food served by excellent people in surroundings that are so comfortable and non invasive 
Content over style 
We...More",2018-02-01,0,5.0,Saturday,February
94,Intresting,Cbt76,207,2018-02-19,"Nice restaurant with cozy,  clean interior.  Mostly friendly staff,  good food and interesting with e.  It's a great restaurant,  but we honestly didn't really understand the hype.",2018-02-01,0,4.0,Monday,February
95,Almost as good as Le Chateaubriant,Montparnasse71,123,2018-02-04,I have to declare my bias (but not an 'interest'). I regard the other great tasting menu restaurant in the 11th (Le Chateaubriand) as the best and my favourite restaurant in Paris. Septime came very highly recommended however and we decided to give it a...More,2017-09-01,1,5.0,Sunday,February
96,Worth the reservation hassle,Michella L,13,2018-01-28,"I wasn't able to get the dinner reservation and settled for the lunch reservation. I was blown away. The taste was innovative while still really good and enjoyable until the last bite. Due to the highly reasonable price of the menu, they understandably did not...More",2018-01-01,1,5.0,Sunday,January
97,Superb!,Pat1970512,231,2018-01-24,There is not much to say. It is one of the best restaurants in Paris and very hip. We took the menue and it was worth it Simply de Ö,2018-01-01,1,5.0,Wednesday,January
98,Excellent in almost every way,wanderluster_rs,36,2018-01-08,"Firstly, get your phone on standby 21 days before the day you want to dine at Septime, because it is almost impossible to get a spot here. I set an alarm to call as soon as they opened the reservations up and the line was...More",2017-12-01,3,5.0,Monday,January
100,Excellent lunch,Frenchinvancouver,44,2018-01-04,"I was finally able to have lunch at Septime  Restaurant… The restaurant has one Michelin Star since 2013. This is a really understated décor with no name on the front door, only a small sign. Love the spiral staircase in the centre of the restaurant....More",2017-12-01,3,5.0,Thursday,January
101,Very special but limited menu,JosephTopTravel,46,2017-12-28,"We enjoyed our meal very much. Take under consideration a few things: it's a fixed menu, you choose the main dish from 2 options, if you don't like them so you have a problem, if you do you are lucky and enjoy the amazing food....More",2017-12-01,2,4.0,Thursday,December
102,Amazing experience! Off the beaten path....,petualang,32,2017-12-23,"It wasn't easy to get a table here as they don't accept email or online booking. They only take booking up to three weeks in advance. And you have to call directly. However, it was all so worth the experience. I love the casual ambiance....More",2017-12-01,1,5.0,Saturday,December
103,What an experience!,jm16,9,2017-11-11,Not easy to get reservations. So happy we did. it was a great experience.  The food was fantastic. The staff was so friendly and the wine pairing was perfect. Love the interior and you must take a look out the back where the washrooms are....More,2017-11-01,1,5.0,Saturday,November
104,Don't believe the hype,Laura S,31,2017-11-09,It might have been an off day but we were not impressed.  The menu was eh and the service was worse.  I watch the kitchen staff break down the kitchen while I waited 40 mins for my desert.  The wine pairing was also poured out...More,2017-09-01,3,3.0,Thursday,November
105,Superb Meal,Oaklandish3,322,2017-11-08,"Other than its reservation system which is super hard for anyone from abroad - why not let there be some seats for on-line reservations?  Our connection in Paris actually had to go to the restaurant twice in order to get us a reservation.  However, we...More",2017-10-01,1,5.0,Wednesday,November
106,Lunch; Four courses of Boredom. ,W3616OTchristianb,154,2017-10-10,"When I ate at Septime in 2015, I was amazed by the quality of the food, the inventive pairings and the simple beauty of the presentation. My visit this time left me completely cold. I couldn't say that it was bad and I'm not upset...More",2017-10-01,5,3.0,Tuesday,October
107,Just Wow!,Payam650,22,2017-10-04,This is one of those modern amazing restaurants that makes things so superbly that your mind is blown. I don't even like tuna but the waitress told me to try it and it was so great!,2017-09-01,0,5.0,Wednesday,October
