rest_name,rest_url,wlyyy,rest_reviews,cuisine,pricing,safety,rest_lastrev,rest_prevtolast,rest_rating,rev_rest,author,rev_title,rev_text,rev_ratingdate,rev_visitdate,author_reviews,author_likes,rev_rating
9. 24 Le Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d8609394-Reviews-24_Le_Restaurant-Paris_Ile_de_France.html,MICHELIN,262 reviews,"French, European",$$$$,,“Great place to have a very nice dinner.”,“Fabulous NYE Dinner”,5.0,24 Le Restaurant,Slimnellie,Fabulous NYE Dinner,"My family and I enjoyed a spectacular NYE dinner at this intimate, chic restaurant. The food was approachable-gourmet. The staff were professional, but completely friendly and helpful. The wine choices were great. We will definitely return when we are next in Paris.","Reviewed January 1, 2022 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/c1/cf/b8/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""566349752"" /> >",22 reviews,,
10. Signature Montmartre,https://www.tripadvisor.com/Restaurant_Review-g187147-d13307509-Reviews-Signature_Montmartre-Paris_Ile_de_France.html,MICHELIN,399 reviews,"French, Asian",$$ - $$$,Taking safety measures,“MAGNIFICENT”,“Amazing kitchen”,5.0,Signature Montmartre,orfu1,Amazing kitchen,excellent dishes and great service. so friendly . we really liked it there. romantic paris and monmarte and resturant. such a great fit. their inclusion in the michelin guide is so correct.,"Reviewed December 28, 2021 ",Date of visit: December 2021,215 reviews,,
Khajuraho,https://www.tripadvisor.com/Restaurant_Review-g187147-d13535124-Reviews-Khajuraho-Paris_Ile_de_France.html,,119 reviews,"Indian, Bar",$$$$,,“Amazing Indian Dining Experience--Not to...”,“Still excellent”,4.5,Khajuraho,delphi927,Still excellent,"Unfortunately we didn’t get a chance to enjoy our food in the restaurant this trip (had to take the food to go, due to my husband’s work schedule), but even from our hotel room we were blown away by how delicious the food still was. It’s so great that some things haven’t changed! The aloo gobi, channa masala, and daal makhani are the best we’ve ever eaten - and we’ve eaten A LOT of Indian food! The chandi tikka and teekha achari were fine, but not of the same caliber as the vegetarian dishes. Employees are very friendly, and prices are reasonable. Phenomenal food - we will absolutely be dining at Khajuraho on our next trip to Paris.","Reviewed October 19, 2021 ",Date of visit: October 2021,,,
11. Petit Boutary,https://www.tripadvisor.com/Restaurant_Review-g187147-d14643721-Reviews-Petit_Boutary-Paris_Ile_de_France.html,MICHELIN,436 reviews,"French, European",$$$$,,“Food is very elegance and professional.”,“Authentic high quality French restaurant”,5.0,Petit Boutary,bj_rgvinb,Authentic high quality French restaurant,"Authentic French restaurant. One of the best we tried on our stay, it’s a daring menu with great wine pairing. Atmosphere is cozy and the service is subtle but very professional. I highly recommend this restaurant for connoisseurs.",Reviewed 3 weeks ago ," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/e0/86/ec/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""568362732"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/e0/86/ed/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""568362733"" /> >",16 reviews,,
12. Le Faham by Kelly Rangama,https://www.tripadvisor.com/Restaurant_Review-g187147-d17568296-Reviews-Le_Faham_by_Kelly_Rangama-Paris_Ile_de_France.html,MICHELIN,115 reviews,"French, Healthy",$$$$,,“Amazing food and surprising tastes.”,“Nice modern haute cuisine”,5.0,Le Faham by Kelly Rangama,14victorh,Nice modern haute cuisine,"Nice 4 course diner. Fresh and in balance. Small modern restaurant with room for 16 People. 
One remark: the temperature is high in the relatively small room including the kitchen.

But it 's for sure worth a visit.","Reviewed July 31, 2021 ",Date of visit: July 2021,43 reviews,1  ,
13. Pianovins,https://www.tripadvisor.com/Restaurant_Review-g187147-d14066702-Reviews-Pianovins-Paris_Ile_de_France.html,MICHELIN,158 reviews,"French, Healthy",$$$$,,“Great food in an unpretentious intimate...”,“Great menu of the day”,5.0,Pianovins,louisecmolina,Great menu of the day,"Beautiful, tasty food served by attentive and friendly staff. There is not much choice (set menu of the day) but very accommodating.",Reviewed 3 weeks ago ,Date of visit: January 2022,18 reviews,1  ,
14. Contraste,https://www.tripadvisor.com/Restaurant_Review-g187147-d18977630-Reviews-Contraste-Paris_Ile_de_France.html,MICHELIN,137 reviews,"French, Healthy",$$$$,Taking safety measures,“Perfect moment in a perfect place”,“What a surprise!”,5.0,Contraste,Annebeth N,What a surprise!,What a surprise! Delicious and special dishes in a relaxed environment. Really an experience. Nice restaurant and friendly staff.,Reviewed 2 days ago ,Date of visit: February 2022,8 reviews,,
15. L'Innocence,https://www.tripadvisor.com/Restaurant_Review-g187147-d14788205-Reviews-L_Innocence-Paris_Ile_de_France.html,MICHELIN,142 reviews,French,$$$$,,“Wow!”,“Beautiful and intimate”,5.0,L'Innocence,elanoreats,Beautiful and intimate,"Delicious, small intimate setting. If you like your food it’s a must, the flavours paired perfectly with the Sancerre we chose and the service was excellent. Would highly recommend!",Reviewed 2 weeks ago ," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/e9/9e/57/l-innocence.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""568958551"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/e9/9e/5e/l-innocence.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""568958558"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/e9/9e/66/l-innocence.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""568958566"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/e9/9e/6c/l-innocence.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""568958572"" /> >",1 review,,
For The Love Of Food  Oberkampf,https://www.tripadvisor.com/Restaurant_Review-g187147-d23473271-Reviews-For_The_Love_Of_Food_Oberkampf-Paris_Ile_de_France.html,,,"Mexican, Brazilian",Menu,,,,,For The Love Of Food  Oberkampf,,,,,,,,
16. Alliance,https://www.tripadvisor.com/Restaurant_Review-g187147-d9467731-Reviews-Alliance-Paris_Ile_de_France.html,MICHELIN,440 reviews,"French, Healthy",$$$$,,“Must have dinner in Paris”,“A wonderful lunch”,5.0,Alliance,001gilb,A wonderful lunch,A wonderful tasting menu for lunch. Exquisite service. Wonderful and creative dishes. We enjoyed our meal and our time very much,"Reviewed December 1, 2021 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/80/be/10/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""562085392"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/80/be/11/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""562085393"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/80/be/12/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""562085394"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/21/80/be/13/caption.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""562085395"" /> >",42 reviews,,
17. Epicure,https://www.tripadvisor.com/Restaurant_Review-g187147-d719052-Reviews-Epicure-Paris_Ile_de_France.html,MICHELIN,"2,855 reviews","French, European",$$$$,,“HEAVENLY”,“NicE!”,5.0,Epicure,nikki_maxx,NicE!,What to say... The place is amazing! It was just one of fantastic Parisean suprises. Never would expected such a lovely and relaxing place to have a glass of decent red wine in a posh 7th arrondissement. I would definitely visit it again.,Reviewed yesterday ,Date of visit: September 2021,3 reviews,,
18. MoSuke,https://www.tripadvisor.com/Restaurant_Review-g187147-d21261591-Reviews-MoSuke-Paris_Ile_de_France.html,MICHELIN,114 reviews,"French, Japanese",$$$$,Taking safety measures,“Fantastique !”,“Simply the restaurant of the moment”,5.0,MoSuke,NBS1941,Simply the restaurant of the moment,"Second visit. Mind blowing flavours .. enters my top 3 in paris ... Shirvan, AT Atsushi and Morysuke","Reviewed July 10, 2021 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1d/4d/47/df/mosuke.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""491603935"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1d/4d/47/e0/mosuke.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""491603936"" /> >",1 review,,
19. Kei Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d2105853-Reviews-Kei_Restaurant-Paris_Ile_de_France.html,MICHELIN,"1,045 reviews","French, Healthy",$$$$,,“Well deserved 3 stars”,“Le Rêve”,5.0,Kei Restaurant,ryanottoulrich,Le Rêve,"Restaurant KEI is not just a restaurant, it is a life altering experience. From beginning to end, I was enveloped in a cocoon of kindness, brilliance and light by a team of extraordinary professionals on par with few others. I had the Harmony Collection - Composition Horizon menu, which included standouts such as Palamos shrimps w/ peach gazpacho and Shrenki Caviar; Kei’s signature jardin potager; Quail risotto w/ black truffle and Périgueux sauce; and the pièce de résistance - Kagoshima Wagyu!

I wish I had been more diligent about remembering names, but their maître d'hôtel was very kind and welcoming, and the sommelier provided excellent advice and was fun to chat with about wine. Her recommendation of the Salon champagne was a particular high note. Many other members of staff demonstrated their enthusiasm and love of cuisine and took the time to chat with me about it and the delightful city in which they live.

This is a quiet, intimate establishment that is very well staffed, in a lovely little corner of Paris. Couldn't recommend it more, get a table here if you can!","Reviewed August 7, 2021 ",Date of visit: July 2021,,,
20. L'Orangerie,https://www.tripadvisor.com/Restaurant_Review-g187147-d10443323-Reviews-L_Orangerie-Paris_Ile_de_France.html,MICHELIN,326 reviews,"French, European",$$$$,Taking safety measures,“The best 1 star meal - worth every every...”,“Definition of perfection”,5.0,L'Orangerie,Z762LGjanett,Definition of perfection,"Simply SUBLIME! An absolutely mindblowing experience and masterclass in perfection.
We managed to get a booking for lunch on a weekday and were warmly greeted by the team at L'Orangerie.
We adore seafood and have very high expectations for the way our fish is cooked but I must say this was THE BEST fish I have ever tasted in my entire life. The genius pairing of flavours to complement the freshness of the fish without being too overpowering was absolutely incredible to witness. Their amuse-bouches was an explosion of flavours alongside their stunning starters and left us hungry for more.

This was all topped off by the absolutely incredible service we received and the beautiful setting!

A must visit for anyone who is in Paris! One of the best restaurants in the world easily!","Reviewed December 17, 2021 ",Date of visit: December 2021,,,
Masha,https://www.tripadvisor.com/Restaurant_Review-g187147-d7376008-Reviews-Masha-Paris_Ile_de_France.html,,402 reviews,"French, European",$$$$,Taking safety measures,“Great find”,“Superior fish”,4.0,Masha,Olililivia,Very good and quite trendy,Good to great food according to what you order. The place is very pretty and everything very stylish. Food is exquisitely presented.,"Reviewed January 29, 2019 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/16/47/33/65/pretty-table.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""373764965"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/16/47/33/7f/whipped-butter.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""373764991"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/16/47/34/3a/chestnut-veloute.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""373765178"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/16/47/34/a2/sushi-apetizer.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""373765282"" /> >",143 reviews,,
21. Restaurant L'INITIAL,https://www.tripadvisor.com/Restaurant_Review-g187147-d8074327-Reviews-Restaurant_L_INITIAL-Paris_Ile_de_France.html,MICHELIN,460 reviews,"French, European",$$$$,Taking safety measures,“best restaurant I've ever experienced”,“Excelent surprise.”,5.0,Restaurant L'INITIAL,AlexSaunders,Excelent surprise.,"Wonderful surprise.  
Excelent menu with creativity and flavour.
Kind service. 
A “must go” place in the Center.
Recomended.",Reviewed 3 weeks ago ,Date of visit: January 2022,4 reviews,,
22. Restaurant H,https://www.tripadvisor.com/Restaurant_Review-g187147-d9750183-Reviews-Restaurant_H-Paris_Ile_de_France.html,MICHELIN,495 reviews,"French, European",$$$$,,“great dinner time”,“Very very special place”,5.0,Restaurant H,petesaund,Very very special place,"This was such an amazing restaurant.Far away from the bustling overcrowded brasseries of central Paris we were transported into another world in a quiet street off Bastille the facade and name unobtrusive and easily missed.
You enter and then feel enveloped and embraced by the warm intimate ambience and understated decor which means no distractions and the need for the food to speak for itself and it sure did.
Before touching on the food here we have a limited number of tables well spaced and in these covid times you feel much safer than the overcrowded noisy brasseries with tables on top of each other
The chef obviously has a good pedigree as his biography speaks for itself and the food more than matches this with a degree of modesty on this part
The restaurant is only open five days a week for lunch and dinner and due to limited seating you need to book in advance and that can be done one month ahead so do not be disappointed.
The menu was a surprise five course degustation excluding amusebouche cleanser predessert and petit fours so all in all incredibly generous at €75 a head
The service was seamless and all of the dishes had originality creativity delicacy and flavour as images speak for themselves.It was clever to have cleanser lime sorbet between fish and venison main dishes as well as a predessert which in its own right could have equally been a dessert proper
Cannot recommend this place enough - such a small establishment allows for excellent service which it was.Notably the chef visited our table at the end. of our meal and asked for feedback
This will be number one on our list next time we come to Paris - it really does deserve a Michelin star although not always welcomed by some chefs as a noose around your neck
Congratulations","Reviewed November 29, 2021 ",Date of visit: November 2021,,,
23. L'Arcane,https://www.tripadvisor.com/Restaurant_Review-g187147-d10837643-Reviews-L_Arcane-Paris_Ile_de_France.html,MICHELIN,339 reviews,"French, European",$$$$,,"“Second visit, it's taht good”",“Stunning eating - talented chefs”,5.0,L'Arcane,JuliaG839,Stunning eating - talented chefs,We enjoyed their fabulous tasting menu and flight of wine.. extraordinary flavours and delicate tastes.,"Reviewed December 12, 2021 ",Date of visit: December 2021,31 reviews,,
24. L'Archeste,https://www.tripadvisor.com/Restaurant_Review-g187147-d10804934-Reviews-L_Archeste-Paris_Ile_de_France.html,MICHELIN,206 reviews,"French, European",$$$$,,“Relax and enjoy”,“Unique experience”,5.0,L'Archeste,natashak0726,Unique experience,"Great experience! Service was impeccable. Outstanding presentation! If you want to have a special night out, make a reservation.","Reviewed January 3, 2022 ",Date of visit: December 2021,1 review,,
25. Tadam Paris,https://www.tripadvisor.com/Restaurant_Review-g187147-d13397675-Reviews-Tadam_Paris-Paris_Ile_de_France.html,MICHELIN,140 reviews,French,$$ - $$$,,“Just like home but waaaay better”,“Nice Evening”,5.0,Tadam Paris,F8964UMeliass,Nice Evening,"We had a nice Evening a Tadam. Food was very delicious, I never ate so good in my life :D Service is amazing too. Total recommend.",Reviewed 4 days ago ,Date of visit: February 2022,1 review,,
Ile Sushi,https://www.tripadvisor.com/Restaurant_Review-g187147-d6427154-Reviews-Ile_Sushi-Paris_Ile_de_France.html,,55 reviews,Open Now,$$ - $$$,,“Good food freshly served”,“Excellent surprise!!!!!”,4.0,Ile Sushi,,,,,,,,
26. Savarin la Table,https://www.tripadvisor.com/Restaurant_Review-g187147-d12396524-Reviews-Savarin_la_Table-Paris_Ile_de_France.html,MICHELIN,150 reviews,"French, Contemporary",$$$$,,“A new favorite”,“One of our best dinners worldwide!”,5.0,Savarin la Table,mikkohoo,One of our best dinners worldwide!,What a fantastic dinner in this tiny restaurant. The food was made with love and every taste was exceptional. Not to forget the kind and friendly service. One of best dinners ever and we are sure to get back when in Paris again!,"Reviewed July 25, 2020 "," <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/9e/da/52/photo0jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463395410"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/9e/da/53/photo1jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463395411"" /> > <img src=""https://media-cdn.tripadvisor.com/media/photo-l/1b/9e/da/54/photo2jpg.jpg""  class=""centeredImg noscript"" style="" min-width:70px; "" width=""100%""data-mediaid=""463395412"" /> >",58 reviews,,
27. L'Hommage,https://www.tripadvisor.com/Restaurant_Review-g187147-d12657453-Reviews-L_Hommage-Paris_Ile_de_France.html,MICHELIN,271 reviews,"French, European",$$ - $$$,,“A shining diamond of a restaurant”,“What a great start to the Chinese New Year”,4.5,L'Hommage,JANET H,What a great start to the Chinese New Year,An amazingly interesting and tasty menu of 6 courses each beautifully flavored with different tastes and textures. This was one of the best meals we have ever eaten. The service was attentive and pleasant and the atmosphere in the restaurant was warm and friendly,Reviewed 1 week ago ,Date of visit: February 2022,23 reviews,,
28. Restaurant eels,https://www.tripadvisor.com/Restaurant_Review-g187147-d12663219-Reviews-Restaurant_eels-Paris_Ile_de_France.html,MICHELIN,327 reviews,"French, European",$$$$,Taking safety measures,“Family dinner in Paris”,“A second visit a success”,4.5,Restaurant eels,Greenway1951,A second visit a success,"We dined here three years ago, and this return engagement was most pleasant. Good conception and execution of upper crust neo-bistro cuisine, good service, buzzy warm room. Prices have followed upward trajectory with reputation and good reviews; good if pricey wine list. The ris de veau main course was phenomenal. Two starters, two mains, two desserts and coffee came to €155; good bottle of Fixin and two glasses of champagne went for €116. Recommended.",Reviewed 4 weeks ago ,Date of visit: December 2021,,,
29. Restaurant Biscotte,https://www.tripadvisor.com/Restaurant_Review-g187147-d13972930-Reviews-Restaurant_Biscotte-Paris_Ile_de_France.html,MICHELIN,217 reviews,"French, Healthy",$$ - $$$,,“A-ma-zing”,“Amazing tasting menu”,5.0,Restaurant Biscotte,linda L,Amazing tasting menu,"This restaurant is a real gem! The chef is an absolute magician with food! We went for the tasting menu and every plate was a triumph of cooking. It finished of with an amazing desert. Will definitely be back,","Reviewed February 2, 2020 ",Date of visit: February 2020,37 reviews,1  ,
30. Le Gabriel,https://www.tripadvisor.com/Restaurant_Review-g187147-d7679533-Reviews-Le_Gabriel-Paris_Ile_de_France.html,MICHELIN,694 reviews,"French, European",$$$$,,“I had dinner here with five”,“An unforgettable experience”,5.0,Le Gabriel,DmitriyA979,Got charged 200 EUR for being late due to a horrible traffic.,"Got charged 200 EUR for being late due to a horrible afternoon traffic, even if I’ve warned them. Tried calling several times, sent an email, no answer. A cold, ruthless place…","Reviewed November 4, 2021 ",Date of visit: November 2021,7 reviews,1  ,
New Jawad,https://www.tripadvisor.com/Restaurant_Review-g187147-d719783-Reviews-New_Jawad-Paris_Ile_de_France.html,,624 reviews,"Indian, Asian",$$ - $$$,Taking safety measures,“Guest in Paris Served by New Jawad...”,“great restaurant”,4.0,New Jawad,ROCI67,Food is not authentic,"We choose this restaurant due to the very good reviews on Google and were disappointed. The food is bland, tastes like convenience food and is most certainly neither Indian nor Pakistani food. Further, the portions are rather small and expensive for what you get.",Reviewed 4 days ago ,Date of visit: January 2022,30 reviews,,
Achi,https://www.tripadvisor.com/Restaurant_Review-g187147-d23451152-Reviews-Achi-Paris_Ile_de_France.html,,17 reviews,"French, European",$$ - $$$,,“Restaurant qui fait l’unanimité des...”,"“Inventive, original neo-bistrot cuisine”",4.5,Achi,Greenway1951,"Inventive, original neo-bistrot cuisine","We had a very satisfying meal in this bright, modern decor establishment. The dishes were quite creative and intelligent in conception and execution; clever realization of topinabours in one starter, and mushrooms in another. For mains, we both had perfectly cooked aiglefin (haddock) accompanied by a generous serving of cauliflower that was a dissertation in the many varieties and styles of preparation possible. The somewhat deconstructed kiwi pavlova for dessert was spot on.

Service was casual but extremely competent and friendly. Small but creative wine carte. Appropriate portion size, good value. Two starters, two mains, two desserts, two glasses of champagne and an interesting bottle of white was €136, and we left very happy. Recommend and would return.","Reviewed December 10, 2021 ",Date of visit: December 2021,,,
