rev_title,author,author_reviews,ratingdate,text,visitdate,likes,rating,weekday,month
A rare piece of art,aroundtheworld48hour,0,2019-12-02,"I am in Paris a fewtimes every year, and after having tried many times to get a reservation at ""Septime"" unsuccessfully, it finally worked out last week. Paris is a city blessed with quite a few excellent restaurants, so one must wonder how the incredible hype about this particular one is even possible,let alone for so many years. I was really sceptical, but did not try to create any special expectations, since I know this is how you get disappointed many times. Having the experience of dining at Septime now, I understand better why itis sohard toget a table there. First of all, it is quite a small place, with few tables.The atmoshphere is quite low key, but everything fits nicely into the picture, fromthe silverware to the flowers which seem to have been picked in the garden and then put into an old glass jar. The staff is casual and very friendly. The food is conceived of and prepared very meticulously and which much taste, but comes across effortlessly. This is where cooking and serving become art and not a business. Just like when I witness a perfect perfomarnce of a Shakespeare play or look at a Gerhard Richter painting, Septime managed to excite my senses and give me a truly extraordinary experience. Hence, I agree with the all the hype, which is not my usual reaction.",2019-12-01,1,5,Monday,December
Special dining experience,jsr19,0,2019-11-29,"We planned ahead and grabbed a reservation for one of our three nights in Paris, and I am so glad we did! Upon arriving we were welcomed and guided to our table in a nearly empty restaurant, within a short bit of time every table was full! We added the wine pairings to our meal, and with each course we were presented with something unique and delicious.The food was simply outstanding! Course after course we were wowed by the flavors and creativity of the dishes. The atmosphere of the restaurant is warm and comfortable. We had a wonderful experience at Septime from start to finish!",2019-10-01,0,5,Friday,November
Decent but not worth all the hype,hungryblackman,0,2019-11-14,"The wonderful owners of the hotel we’ve stayed in over the last few years were able to get my wife and I a reservation at Septime. It can be quite difficult getting a reservation here, so when the hotel staff were able to do so, they were excited, we were excited...but the excitement took a dip during the actual dinner experience.

Decor & Atmosphere - perfectly lit, nice layout and well regarded fixtures and fittings. The whole vibe is relaxed and friendly. From the outside this restaurants quite unassuming and nondescript, and you could almost miss it if you don’t ask around.

Staff - Very polite and friendly staff made us feel very welcome as soon as we walked in, right through to the end. They really are the stars of this establishment.

Food - Unfortunately the food here is quite forgettable. Yes they have a very interesting take on flavours; many contrasting and sense-altering flavour profiles, but apart from that, the food largely fell flat for both of us. The dishes just failed to come together most times and not much attention was given to the texture profile in my opinion. Tasting menu consisting of 7 dishes changes from time to time, so maybe we were just unlucky. A few highlights include the flat bread with roasted pumpkin seed paste; celeriac dish, scallops with pork, and mint ice cream with olive oil. The wine list is however quite extensive and the aperitifs were very interesting.

Will I come back soon? Maybe not, however the food is decent; just probably a bit overhyped.",2019-11-01,5,3,Thursday,November
Wonderful 65th birthday,Allen H,0,2019-11-14,The food and wine tasting was a fantastic experience. My daughters and myself celebrated my wife's 65th birthday this week. We had 32 glasses of paired wines for four people and the composite of all the different wines and/or liquors was perfectly complemented to the food experience. The food is very unique and different. I thought the price was very reasonable for the experience and service. Again I would highly recommend. Remember to make a reservation they open 21 days in advance.,2019-11-01,1,5,Thursday,November
Plan your reservation,johntmurray,0,2019-11-05,"This was my second visit; did lunch last November; dinner this time; people said impossible to book; difficult not impossible; just be aware of the time difference and book three weeks before you want to attend at the beginning of their work day in Paris; it may mean calling in the middle of your night; took me half hour to get through; well worth it; great food, wine and service; I liked the orange white from France; but everything is sensational.",2019-10-01,1,5,Tuesday,November
Fantastic Meal...Worth Getting Up in the Night to get a Reservation!,emandm21,0,2019-10-27,"To begin with, Septime's website doesn't totally explain how the reservation system works, which was a little confusing. You actually can only get lunch reservations online and must call the restaurant for dinner reservations. Their phones open at 10 am Paris time (3 weeks in advance of each date), which means I got up at 3 am where I live to make the reservation. I figured this out after missing my first attempt at a reservation.

That being said, it was definitely worth getting up in the night to make the reservation! My friend and I who dined there both consider ourselves pretty well versed in the food world and have eaten at our fair share of great restaurants. Septime definitely held up to the hype of being in the World's 50 Best. The vibe of the restaurant is warm and inviting, and you can get views of the action in the kitchen from a lot of the tables. The staff were all friendly, spoke English, and also tolerated my attempts at speaking French to them. The service was really spot-on throughout the meal.

For the food...The menu includes 7 courses as well as an amuse bouche. You can also add on a cheese course, which we did because...well, it's France. Standouts included: the scallops with miso, the Cacio E Pepe (which was made using ribbons of celery root instead of pasta...such an unexpected combination that tasted amazing), and the cabbage with lime and yogurt. The flavors of the cabbage were really interesting... it was totally unexpected that I would like cabbage so much! Really, all of the food was delicious. The only thing that would have been a nice add-on was a printed menu of what we ate at the end of the night like a lot of the higher end places do in the States. I have great memories and my photos...will have to rely on that!

For the drinks...my friend did the beverage pairing, which he liked. I decided I wasn't up for as much alcohol that night and decided against it. The staff were very accommodating and had no issues with one person doing the pairing and one not doing it. They gave great recommendations on wine when I was ready for it throughout the meal, and I had 3 great glasses. When we got our check at the end of the night, I was really pleasantly surprised that each glass was under 9 Euros...which would be unheard of at a high-end restaurant in the States!

Overall, this was a fantastic meal and definitely ranks at the top of my personal favorite meals. One other interesting note was that they change the menu every 3 weeks, so it is constantly evolving. The cost was extremely reasonable given the quality of the food and drink, the exceptional service, and the overall experience. I highly recommend a visit to Septime...it's worth the work at the reservation!!",2019-10-01,1,5,Sunday,October
Great Experience,collierje,0,2019-10-06,"I'll echo everyone else and agree that reservations are sort of a pain, especially since they have moved to #15 in the world. While I thought it was quite good, I'm not sure it is worthy of that lofty ranking. The service and space were top notch, and the wine pairing (except the dessert wine) were all spot on. The flavors were sort of uneven on some of the dishes, while others were great. If you miss out on reservations, you shouldn't kick yourself but I'd still recommend a visit.",2019-09-01,1,4,Sunday,October
Exceptional experience,Laura D,0,2019-09-22,"We went to Septime for lunch, and throughly enjoyed it. Although it is currently considered to be #15 in the world, it has a very warm and welcoming casual atmosphere (not at all pretentious). All the staff were very helpful and spoke excellent English. They explained each dish, including a short story about each of the matching wines. The food was spectacular - our favourite dishes were the tomato dish and the sweetbreads (we were away for 4 weeks in total and still talk about how fantastic all the dishes were). The flavours and fresh ingredients blew us away! There was also an option to add a cheese plate as part of the lunch before the dessert.",2019-08-01,2,5,Sunday,September
Perfect lunch !,juju a,3,2019-09-21,Wonderful experience and great food . The atmosphere is nice i would definitely come again and recommend this restaurant to my friends.,2019-09-01,0,5,Saturday,September
An excellent place if you can get a reservation,Juan Manuel V,0,2019-09-21,"We had the fortune of being able to get a reservation at this highly acclaimed and reviewed restaurant in Paris, France. Currently #15 in the world (whatever that means) in the Top 50 Restaurant list, and 1 Michelin Star, it is certainly one to look forward to, at least according to critics. Now, this is not your typical french restaurant with strict adherence to Michelin guide guidelines, it’s a little bit more loose and informal and feels way better than others that I’ve visited. Staff was very welcoming, friendly and overall jovial, which kind of surprised me. The place has a very modern decoration, very hip if you ask me; I liked it a lot, and the food of course, which is the most important thing, is mostly really good and it tries to do something different, which in most of these places does not seem to be the case.

There were a couple of exceptional courses, specifically the one with caviar and the tomato steak. They really stood out from the rest. As the name implies, Septime offers seven course meals (without counting the vegetable tray as an appetizer and the wonderful bread that keeps coming and coming). I would love to describe all the dishes but menu’s were in French and even though the staff went out of their way to explain everything in English and Spanish, I really don’t remember everything. I’ll let the pictures do the talking.

If you have a chance to go to Septime, please do, it’s definitely worth it and is one of the up and coming restaurants, that should crack the Top 10 soon.",2019-09-01,1,5,Saturday,September
Inadequate prenotation system ,664guiag,0,2019-09-05,"I have been very careful about booking deadline but their site didn't work and the bistro was not reachable by phone for all August. They kept us in waiting list (with credit card provided and 190€ fee in case of no-show) till the day before the dinner, with no success. ",2019-09-01,2,1,Thursday,September
Superlative,KarenAustin,0,2019-08-10,"We went for lunch. At the advice of the couple finishing their meal at the table beside us, we did the wine pairing with the multi-course meal. What an excellent suggestion— one we pass on here. I can’t say enough good things: excellent, imaginative food; perfect wine with each course; all explained beautifully by the superb staff. I will put this on my fo-to list anytime I’m in Paris— even if there are so many other excellent places to try in Paris! It was simply a memorable eating experience.",2019-06-01,4,5,Saturday,August
"A super chill fine dining experience, BUT the restaurant has NO AIR CONDITIONING!!!",maodohsiao,0,2019-08-01,"We went the day before France had the record breaking temperature of 42.7C (109F). When we started our meal at 7.30PM, it was 39C (102F), and when we ended our meal at 10, it was 37C (98.6F). It was SO unbelievably hot that it took away from the dinning experience to a certain extend.

With that said, it was still one of the best meals ever. I love that it's a Michelin star restaurant for fine dinning, at the same time, the environment was relaxing (not stuffy). The team there was extremely friend, young, and energetic.

Def a place I would love to go back one day - just not ever in the summer again!",2019-07-01,1,4,Thursday,August
A down to earth world class experience!,Allison T,0,2019-06-30,As great luck would have it my friend was able to score a very tough-to-get reservation! From the minute we sat down the unique and delicious dishes along with the incredible wines they recommended were served with a warm smile and a generous spirit. Trés magnifique!,2019-06-01,2,5,Sunday,June
A Great Place,Verneuil13,0,2019-06-24,"After trying several times to get a table, a friend visiting Paris kindly got one and invited me. I do understand their success.Everything was perfect. The set menu is simply marvelous, light and with the right portions.An incredible flavor's evolution with a sans faute. Service was relaxed but highly professional. I enjoy trying new wines and their choice was perfect. Everything was simply great",2019-06-01,1,5,Monday,June
<3 Septime,elbows_inLA,0,2019-06-16,"We stalked reservations for months - as soon as we confirmed our dates in Paris. We were only able to snag lunch reservations, but I actually think that worked out in our favor. The wait was worth it - this place delivered. Every plate was delicious.",2018-07-01,0,5,Sunday,June
I will always remember Septime!,holland23,0,2019-06-07,"Possibly my favorite dining experience ever. I made sure to get up exactly at 4am, exactly 21 days before the day we were to dine to set my reservation and it was so worth it. The staff was extremely friendly and approachable. The restaurant space was cool, well decorated with an open kitchen that was busy and well coordinated. Each dish that came out was visually stunning, delicate, delicious, and a different experience. It was cool for us not quite knowing what was to follow as they use a carte blanche menu and we just kept getting surprised. They handled my seafood allergy with great care and were attentive to all of our needs. This is easily one of the best restaurants in the world and HUGE bonus from us on the fact that Septime is a very sustainable and environmentally friendly establishment. Try and get reservations and go, you will love it.",2019-05-01,3,5,Friday,June
"six plates, two great and four blahhh",Bonimba55,0,2019-06-04,"I was really disappointed, the place, the ambiance, the service and the wine was was very good but .... the rest was not worth it.
What can I say, the six plates were very inventive but beside the tuna tartare and the fish main plate (tiny piece) the rest was ... again blahhh",2019-05-01,0,2,Tuesday,June
Relaxed yet refined dining,RJLev,0,2019-05-29,"Having woken up at 4am 3 weeks prior to book the reservation, I was hopeful that Septime would not disappoint. To jump to the conclusion, it did not!

The food and service was spectacular, and the dishes that were brought were refined and elevated tastes in items that I didn’t know were possible. The vegetable focus was elegant and more than satisfying.

The wine pairings were unusual and spot on.

As someone from abroad, we were made to feel welcome and wanted.

Would love to return. If in Paris be sure to try and experience this!",2019-05-01,0,5,Wednesday,May
Stunning Food and Service,MadamJosephine,0,2019-05-26,"It was a rocky start, we arrived early and were told in no uncertain manner to leave. The restaurant only opens at 7.30pm so don't arrive early or come before your booking time. We had an extremely charming young lady serve us, who recommended an excellent Chardonnay which went well with all our dishes. As stated in other reviews there is no menu, dietary issues are catered for, but you have no choice as to what is brought to your table. We enjoyed every single dish and after 2 bottles of said Chardonnay the bill for 2 was 400 Euros before the tip. It's a very casual looking place, the atmosphere is buzzy and the food & floor staff were top notch on the night we visited.",2019-05-01,0,5,Sunday,May
Worth the hype? YES!,heatherlyrock,0,2019-05-23,"We were worried that Septime would be overhyped because it made all the lists. But we were surprised that the hype was well deserved. We had a great lunch experience and enjoyed all the dishes. They were skillfully executed. The common zucchini and the unusual acacia flowers were quite delicate with light butter sauce. The chicken was perfectly cooked with crispy skin and super tender meat. It was delicious with the whole grained mustard and sabayon smoked potatoes (super tasty). The tuna was perfectly paired with the unexpected beets. The accompanied asparagus was cooked just right. All vegetables were tender with a soft crunch. To top it off, it’s the best deal in town. Highly recommended if you can get a reservation!!",2019-05-01,0,5,Thursday,May
I really wanted to LOVE this restaurant...,deniseVancouver,0,2019-05-18,"I was very excited that I got a lunch reservation after trying hard to get a dinner reservation. Cute interior. Acoustics were pretty loud and tables were very close together. It appeared that the majority of the guests were tourists. I actually didn't hear any guests speaking anything but English. After reading all the rave reviews, this was the one restaurant that I was hoping to love a bit more than I actually did. Service was good, however, our server didn't put much effort in to telling us what we were being served. The table next to us had a much better server and we easedropped so we knew what we were going to be served as they were one course ahead of us. The food was good but it wasn't exceptional in my opinion, even maybe a bit bland. The price of the lunch tasting menu was good value and nicely plate presentation. One thing that was a negative to me was that they brought us a craft of sparkling water (not a sealed bottle) and when we finished it, they kept bring us refills without asking, when we got the bill, we were charged someting like $7 Euros per bottle which I found excessive. I don't think I would need to go back to this restaurant.",2019-05-01,4,4,Saturday,May
Had hoped for more,vacationsy,0,2019-05-11,"Septime is an upscale restaurant that is very proper. We showed up 10 minutes early and they asked that we leave the restaurant as it wasn’t open. So we took a walk around the block... in the cold damp weather.

No menu. You can pick a wine but the chef cooks you a six course meal that he chooses. We got four veggie to start which were very good. I remember the smoked potatoes were pretty unique. The fifth was a small fish dish. The dessert was pretty good which was a sorbet with crunchy topping. They also brought an extra dessert at the end. We were not full at the end of the meal, and I believe spent Euro 80 per person. It was a refined meal, but left us unsatisfied.",2019-05-01,2,4,Saturday,May
Delicious!,Jennifer O,0,2019-04-27,"We had a lovely and absolutely delicious meal at Septime. I also want to commend all the servers--we ate here on the night of the Notre Dame fire which we had just passed in our taxi and were badly shaken up. The restaurant stafff could not have been kinder or more accommodating and we were very grateful. Beyond that, the food here is amazing, delicious and beautifully prepared. Highly recommend.",2019-04-01,0,5,Saturday,April
I expected more,ManilaGingersnap,0,2019-04-22,"Went on the waitlist when I realised this was close to Atelier Lumiere where we had tickets for the 2pm. I got a confirmation the day before and was so happy to try this Top 50 Best Restaurant.

The place is cozy, decor is very now, service is very efficient but I expected more from the food. As white asparagus is now in season, that's what they served s first course. It was light and refreshing. Second we had the cuttle fish in vegetable broth with a poached egg on top which was very much to my taste. For the mains, my two daughters and I had the cod and my husband the lamb. It was good not great. Dessert was the best part which was glacee with lime, dill, and almonds.

Paid 212 euros for 4 with a bottle of riesling. Took us two hours to finish and although we were very very full it felt like it could have been better.",2019-04-01,0,3,Monday,April
"Very good, but probably not worth the price",Cathy R,0,2019-04-07,"We did enjoy our dinner at Septime, but compared with some of the other restaurants in Paris, probably not worth the price tag. Our group of 3 was seated with a group of six at a large table. I expected that we would have our own table given that this was a Michelin star restaurant. However, even being seated with the other group, it was not too loud to have our own conversation. We had the wine pairings which were mostly good. The service was excellent. Dinner did last 3 hours. ",2019-04-01,0,4,Sunday,April
Neo-Bistrot Michelin Star done correct.,326h_vardl,88,2019-03-24,We had an amazing experience at Septime. Very cool and different concept with neo-bistrot and nature wine. A lot og vegetarian dishes that also were good. Best was the guineafowl. Just great. Friendly service and reasonable prices for this leven of dining.,2019-03-01,1,5,Sunday,March
Worth waiting for,s37nyc,0,2019-02-16,"I've had trouble getting a reservation here, even mid-week in the winter. I used their online system to add myself to the wait list and got in. The space is beautiful, sleek modern farmstead look that compliments their farm to table approach. Everyone has the same courses and the the wine pairings are optional (and I enjoyed them). Some courses were great (the scallops with sea urchin roe), some good if not super memorable (sauteed endive). Two contrasting desserts was a very nice touch.",2019-01-01,0,5,Saturday,February
Go now!,ryu0803,0,2019-02-15,We really enjoyed our dinner at this restaurant. Great atmosphere with friendly and welcoming staff. They served only one set menu plus an optional cheese course. The sommelier suggested nice wines and they also offered wine pairing. Food was refreshing and tasty except the two desserts which we found underwhelming. We were being seated in front of the open kitchen and it was entertaining to see the Chef and his team doing the show. The restaurant was ranked #40 on the 2018 World’s 50 Best Restaurants list. The 7 course dinner menu at €80 was amazing value. Go now before it gets expensive.,2019-02-01,0,4,Friday,February
Best experience ,Anganacca,375,2019-01-08,"We had a wonderful experience. Great taste, great presentation. All the textures, flavors since the starter until the desert. Great chef",2019-01-01,3,5,Tuesday,January
Deliciously unpretentious,benmiller412,0,2019-01-06,"Oftentimes, French restaurants (especially in Paris), take themselves too seriously, offering fanciful food without much substance. Septime is all substance. Compared to 3-Michelin haute cuisine restaurants in Paris, Septime offers an unpretentious, refined take on French classics. This restaurant is worth every penny and is also worth the effort to secure a table. The service was tremendous and the food (and wine) equally so. Couldn't recommend highly enough!",2018-12-01,1,5,Sunday,January
"Best Meal of a Lifetime, Truly ",sharedvision,0,2018-10-30,"I’m 77 and we have travelled in Europe a fair bit and we do not go to high-end restaurants regularly, but I must say that our meal at Septime at lunch was “” one of the best meals of my life”” and when we return to Paris next year we will make every effort to indulge ourselves in this special atmosphere, where each of our 4 courses was exceptional in every way...visually, so well described by our waiter, and taste wise was simply delicious with every bite...the staff are exceptional in their welcoming and in service to the clients...",2018-10-01,5,5,Tuesday,October
Very enjoyable,Monkeybat14,0,2018-10-25,"My first note will be that I can not fault this place at all - service was fantastic and the food very enjoyable.

1 Michelin star - ok seems very very fair indeed.

One of the world's best 50 restaurants - not so sure......... but I'll leave you to make your own mind up there.

Every dish was Excellent - modern cooking underpinned by classic French technique.

Flavours will well balanced and seasoning good - flavours were generally subtle and delicate.

Service was very friendly and informative. The knowledge of our main waitress was phenomenal.

Thank you team septime.",2018-10-01,1,5,Thursday,October
You get what you paid for,Henson_8,0,2018-10-21,"Most reasonable wine pairing lunch i ever had, food was simple.. but good will want to try the dinner degustation next time and the seafood place next door. service is 4/5, food 3.5/5, wine served 4/5.if you like wine pairing this is the place for you.. must reserve..",2018-10-01,0,4,Sunday,October
"Average, pretentious and disappointing ",nicolasc226,0,2018-10-13,"The ambiance is nice and relaxed and the staff is great.
The food is a surprise menu, visually well executed but far too complex and I would say pretentious.
Some of the dishes were ok, the sweetbreads were the worst I’ve eaten but the pudding was delicious. Wine list is good. Throw in a couple of bottles of wine between 5, a few beers, and you are in the zone of €120 a head...mind you, one does get 6 courses!
Honestly, I’m not sure what all the fuss is about. Paris has a lot better to offer
",2018-10-01,3,3,Saturday,October
Worse one star michelin restaurant ever (i visiter over 50),arisnita,7,2018-10-12,"Nothing is really good. Somethings are ok. The pigeon is a total disaster. Epic fail overall. 

Avoid at all costs.",2018-10-01,3,1,Friday,October
Very average,AmnaAlblooshi,0,2018-10-12,"Not worth the hype at all .. if you know good food and Michelin star worthy food don’t bother coming here if you are expecting and exceptional experience .. food was very average and mediocre .. we had the autumn menu .. the amuse bouche was ok .. the tuna and capers starter was 6/10 .. the caramelised leaks and peach dish was 8/10.. the main dish the pigeon was 6/10 the pigeon was very chewy they didn’t give us the right knives to cut its , I gave this dish and extra point for the cute presentation that looked like autumn leaves .. the dessert was the best I had there , figs with honey and peach sorbet .. this dessert is 10/10 very light very delicious but very simple not a Michelin star dish at all .. for a fine dining experience I give it 6/10 but since it’s a one Michelin I’ll give it 4/10 I really don’t get why this place is over hyped .. the atmosphere in the restaurant was so hot we practically were sweating when we sat there ..

Not worth the effort you go through to book a table ..",2018-10-01,1,3,Friday,October
Perplexed by lack of execution and bad wine pairing,Journey823987,0,2018-10-11,"Went to Septime as we had a friend who used to work here. Expected a good representation of seasonal ingredients and had heard great things about the wine list. Perhaps they had a bad service but the dishes weren't cohesive and showed average technique.

The wine pairing was primarily natural wine as expected but the wines were so thin they had no place accompanying food. The texture and seasoning of the duck was not great. The accompanying seared cucumber didn't work in texture or as a whole dish. The ice cream we had was watery and the fruits that accompanied looked like they had been frozen.

There was some good bites no doubt but tasting menu's should average out a couple great dishes a couple good dishes and a couple misses.

Should also note the service didn't ask about the quality of the food/wine in which case we would of said our two cents and probably left without finishing the tasting.

I do understand the nature of the industry and that variance exists but this review is more for the restaurant not for future visitors as I'm sure this isn't the standard the chef represents all the time.",2018-09-01,3,2,Thursday,October
Wow - How Delicious,Eatalyfood,0,2018-10-10,We were extremely lucky to get a reservation on a Friday evening in September during Fashion Week and the Ryder Cup! It is a set menu of amazing creativity and delicious flavours served in a chic but relaxed environment with fantastic knowledgable staff. Absolutely first class.,2018-09-01,1,5,Wednesday,October
One of the best places in Paris? This must be a joke...,jeanbworldtraveller,0,2018-09-24,"This restaurant's agenda is clear: Make high profit margins from unsuspecting customers.

I am not even sure where to start because everything was off...

Very tiny portions.
No coherence in flavors.
Bad quality ingredients.

Yes, it's cheap(ish) but it's easy to tell that it is. Other restaurants which are also cheap like restaurant H or Ken manage to do much, much better so this is no excuse.

The main dish was duck. I can by far say it was the worst duck I had in my life. It was SO chewy, I could have choked and died on it.

If you can't serve tender duck, then serve chicken. No one will blame you for it.

The only good dish was the polenta.

The wine pairing at 55 euro was NOT generous. The portions were so small it was almost insulting. Considering that they were serving 15 euro bottles, they could have done better.

Don't waste your time here. Go to another restaurant.

This chef needs to either go back to culinary school or worry less about his profit margins (or maybe increase prices so that he can offer better food).

We all left hungry.",2018-09-01,2,1,Monday,September
Excellent,VoxVolpe,0,2018-09-09,"This inventive restaurant is excellent in every way. The service was friendly and attentive yet casual. The atmosphere is casual but hip. The food was tasty, flavorful and well prepared. Every dish was thoughtful and artful. We enjoyed all the dishes especially the fish. Septime is part of a new food movement in France and we welcome this change. This is one of the better restaurants in Paris and should be must for foodies.",2018-09-01,0,5,Sunday,September
Ok,322judid,0,2018-09-07,"We had lunch here yesterday. The food was creative but there was no continuity of flavors. Service was extraordinarily good and attentive. However, my husband and I were sick for the remainder of the day. There are so many excellent restaurants in Paris that I wouldn’t return to Septime.",2018-09-01,0,3,Friday,September
Spectacular ,475damieng,0,2018-08-06,The effort to get a booking at this restaurant was well worth it. The food was amazing. The staff were wonderful. Wines are fantastic. Really can’t fault the experience we had here - easily the best meal I had in Paris and rates among the best I’ve had at various fine dining restaurants in all of my travels. ,2018-08-01,2,5,Monday,August
Amazing,E17fella,0,2018-08-03,Came here for dinner with two friends. We had the menu with the matched wines and it was an incredible dinner. The staff were extremely knowledgeable about the food and the wine and were friendly and attentive. They were able to answer all of our questions and did so always with a smile and good humour. It was hands down one of the best eating experiences of my life. ,2018-08-01,0,5,Friday,August
Delicious but overpriced and still hungry after ,Patwak,0,2018-07-31,"Our friend lives around the corner and walked by to make a reservation 3 weeks in advance for us on a monday evening.

We received a warm welcome and then they showed us a very nice communal table with a nice view on the garden of the next door neighbors and with open windows for a refreshing breeze.

As the amuse we got breadsticks with cheese dip which were not fantastic. Quite boring actually.

This was followed by a great ( but small) raw tuna dish in a cold broth.

The 2nd course were oven roasted onions with dips.

The 3rd course was a vegetable course with white beans and greens with a delicious dressing.

The 4th course was a smoked duck with a side of pork belly infused mushrooms and nuts. Once again very good but very small.

Here is where the confusion started for us as before the meal started we received an explanation that it was a 6 course menu and then we received a scoop of ice cream with red fruit and a tiny bowl of ricotta with almonds.

We discussed this all day afterward and even called to ask about the 6th course. This was indeed the minuscule bowl of ricotta served together with the ice cream.

Verdict. The flavors were on point but the price-value ratio felt under-par. It feels like there was budgeted on the ingredients.

No need to wake up at 4am to make reservations.

",2018-07-01,2,4,Tuesday,July
Very disappointing. ,GuilhermeR902,0,2018-07-29,"It was really complicated booking a table at this highly rated contemporary French eatery. There is no online booking, you have to call at specific times. Due to a time difference, we had to wake up at 5 a.m. at a specific date to book a table. What a waste of time and sleep!

Septime has a pleasant decor and attentive staff, but the food is boring as hell! One failed attempt of creativity after another ... bland, uninteresting, muddy flavors came to mind at every bite. Don’t know how this place made the top 100 list! Don’t waste your time or money here, there are plenty of better choices in Paris with easier booking.",2018-07-01,1,2,Sunday,July
